ID,distance,latitude,longitude,geometry,id_cukrarna,distance_mhd,stop_name_mhd,district,admin_district,street,house_num
159,0.2518380831686819,49.9868,14.4694,POINT (14.4694 49.9868),643,0.4938845960911284,Písnice,Libuš,Praha 12,Předenická,663/6
166,1.704496599175149,49.9918,14.3444,POINT (14.3444 49.9918),589,0.1836473450646235,V Sudech,Praha 16,Praha 16,V sudech,1488/2
167,1.2808264850595164,49.9918,14.3494,POINT (14.3494 49.9918),589,0.2485465382734145,Safírová,Praha 16,Praha 16,Častonická,1008/6
168,0.978212916174858,49.9918,14.3544,POINT (14.3544 49.9918),132,0.50163930436897,Safírová,Praha 16,Praha 16,Slavičí,755/18
170,0.7854357479900685,49.9918,14.3644,POINT (14.3644 49.9918),41,0.1187761541163812,Plánická,Praha 16,Praha 16,Strážovská,382/71
171,0.9054824157711604,49.9918,14.3694,POINT (14.3694 49.9918),41,0.1601080349021167,Živcová,Praha 16,Praha 16,Radkovská,1129/12
172,1.2802099422831503,49.9918,14.3744,POINT (14.3744 49.9918),41,0.3017781058004155,Přeštínská,Praha 16,Praha 16,Přeštínská,1415
173,1.7532902176681566,49.9918,14.3794,POINT (14.3794 49.9918),41,0.4043272710817973,Přeštínská,Praha 16,Praha 16,Výpadová,1034/22
177,1.4631914636917889,49.9918,14.3994,POINT (14.3994 49.9918),111,0.4266263549379164,Lahovice,Zbraslav,Praha 16,Lahovská,9
178,1.313502174889899,49.9918,14.4044,POINT (14.4044 49.9918),111,0.0937695887234938,Praha-Komořany,Praha 12,Praha 12,U skladu,2078
179,1.3876947313658294,49.9918,14.4094,POINT (14.4094 49.9918),111,0.1524172785553865,Komořany,Praha 12,Praha 12,U vlečky,1748/6
180,1.5269799235327677,49.9918,14.4144,POINT (14.4144 49.9918),342,0.2255529966487814,Do Koutů,Praha 12,Praha 12,Za strojírnami,1599/17
181,1.5542590054531047,49.9918,14.4194,POINT (14.4194 49.9918),342,0.0782435535670729,Nové Komořany,Praha 12,Praha 12,Pacholíkova,2312/30
182,1.765169800668515,49.9918,14.4244,POINT (14.4244 49.9918),342,0.528817788727731,Nové Komořany,Praha 12,Praha 12,Pleštilova,2369/21
184,1.7032450776156345,49.9918,14.4344,POINT (14.4344 49.9918),74,0.2811666803293646,Cholupický vrch,Praha 12,Praha 12,K Ladům,ev. č. 185
185,1.6891427775004544,49.9918,14.4394,POINT (14.4394 49.9918),74,0.3367195829204809,Zálužická,Praha 12,Praha 12,U obce,73
186,1.8497061526475167,49.9918,14.4444,POINT (14.4444 49.9918),74,0.2767036854147238,Zálužická,Praha 12,Praha 12,Třebanická,183/11
189,0.4860194198912246,49.9918,14.4594,POINT (14.4594 49.9918),510,0.8631991788989177,Cholupický hřbitov,Praha 12,Praha 12,U nové louky,ev. č. 190
190,0.1527441991087288,49.9918,14.4644,POINT (14.4644 49.9918),510,0.4540999011233447,Ke Březině,Libuš,Praha 12,Zátoňská,19/11
191,0.3266359770667421,49.9918,14.4694,POINT (14.4694 49.9918),643,0.1214553179413187,Písnice,Libuš,Praha 12,Klenovická,298/7
192,0.5700981600779231,49.9918,14.4744,POINT (14.4744 49.9918),643,0.6573623576507942,Písnice,Libuš,Praha 12,Na losách,349/36
194,3.971767942506545,49.9968,14.3094,POINT (14.3094 49.9968),464,1.036204472380022,Maškův mlýn,Řeporyje,Praha 13,Kavylová,6
196,4.046658642522576,49.9968,14.3194,POINT (14.3194 49.9968),464,0.2515442278809067,Maškův mlýn,Praha 16,Praha 16,Na Cikánce,39/8
205,1.338064894237747,49.9968,14.3644,POINT (14.3644 49.9968),41,0.2110236463806435,Solná,Praha 16,Praha 16,Minerální,1765/6b
206,1.4118805729386366,49.9968,14.3694,POINT (14.3694 49.9968),41,0.3099044787842608,Lahovská,Praha 16,Praha 16,Jarmily Novotné,1651/20
213,0.7611193309196062,49.9968,14.4044,POINT (14.4044 49.9968),111,0.3689934792737959,Cukrovar Modřany,Praha 12,Praha 12,K modřanskému nádraží,222/2
214,0.8830126499204279,49.9968,14.4094,POINT (14.4094 49.9968),111,0.3155204929829734,K Vystrkovu,Praha 12,Praha 12,Nad zavážkou,1267/15
215,0.979595848618964,49.9968,14.4144,POINT (14.4144 49.9968),342,0.1788358510589419,Baba I,Praha 12,Praha 12,Churnajevova,1105/4
217,1.3205168552318811,49.9968,14.4244,POINT (14.4244 49.9968),342,0.0955376329380296,Hornocholupická,Praha 12,Praha 12,U jizby,1427/15
218,1.4199124266520748,49.9968,14.4294,POINT (14.4294 49.9968),74,0.1066246009178892,Na Beránku,Praha 12,Praha 12,Beránecká,2342/8
219,1.1628675022206725,49.9968,14.4344,POINT (14.4344 49.9968),74,0.2776166802039321,Cholupický vrch,Praha 12,Praha 12,Pod remízkem,ev. č. 184
220,1.1421122344502783,49.9968,14.4394,POINT (14.4394 49.9968),74,0.5908209687607767,Cholupický vrch,Praha 12,Praha 12,V Lipinách,ev. č. 43
224,0.635534658819653,49.9968,14.4594,POINT (14.4594 49.9968),510,0.908363216650359,Sídliště Písnice,Libuš,Praha 12,Ke březině,191/1
225,0.3918446848563892,49.9968,14.4644,POINT (14.4644 49.9968),27,0.3561065008457791,Lipovická,Libuš,Praha 12,Lipovická,419/3
226,0.1889533026444731,49.9968,14.4694,POINT (14.4694 49.9968),27,0.1990998868523746,Lipovická,Libuš,Praha 12,V zákopech,534/3
227,0.7306944943751875,49.9968,14.4744,POINT (14.4744 49.9968),27,0.754002446908846,Lipovická,Libuš,Praha 12,V zákopech,625/27
229,1.3426089572652466,49.9968,14.4844,POINT (14.4844 49.9968),499,0.2610392156585567,U Studánky,Praha 4,Praha 4,Ukončená,8
230,1.8267189547460532,49.9968,14.4894,POINT (14.4894 49.9968),499,0.2926193968621693,Pramenná,Kunratice,Praha 4,Vídeňská,434
233,3.2914277016969664,49.9968,14.5094,POINT (14.5094 49.9968),606,0.881939747372689,Hrnčíře,Šeberov,Praha 11,Radešovská,809
234,3.0917309965351696,49.9968,14.5144,POINT (14.5144 49.9968),172,0.3538521032800799,Hrnčíře,Šeberov,Praha 11,K Safině,748
244,3.705576722488899,50.0018,14.3294,POINT (14.3294 50.0018),589,0.3912585855111354,Lomy,Praha 16,Praha 16,Na Cikánce,614/2
248,2.2179046131074363,50.0018,14.3494,POINT (14.3494 50.0018),132,0.1703995302567414,Pod Lochkovem,Lochkov,Praha 16,Na dražkách,219
249,2.014718286712355,50.0018,14.3544,POINT (14.3544 50.0018),132,0.2268481168467372,Lochkov,Lochkov,Praha 16,U sladovny,196
255,2.103290753317112,50.0018,14.3844,POINT (14.3844 50.0018),599,0.155840306676085,Zahradnictví,Velká Chuchle,Praha 16,Radotínská,388/10
257,1.2087241188330164,50.0018,14.3944,POINT (14.3944 50.0018),524,0.3766564105649824,Lahovičky,Zbraslav,Praha 16,Za ploty,64
259,0.2221875522146859,50.0018,14.4044,POINT (14.4044 50.0018),111,0.2103952702568427,Cukrovar Modřany,Praha 12,Praha 12,U spořitelny,69/18
260,0.499775962186199,50.0018,14.4094,POINT (14.4094 50.0018),111,0.0976671389201462,Čechova čtvrť,Praha 12,Praha 12,V potočkách,1537/8
261,0.4512187566929266,50.0018,14.4144,POINT (14.4144 50.0018),342,0.0838672633071447,Radnice Praha 12,Praha 12,Praha 12,Písková,1994/27a
262,0.5363317402051168,50.0018,14.4194,POINT (14.4194 50.0018),342,0.2475075732508181,Písková,Praha 12,Praha 12,Babská,2057/18
263,0.9938586945393696,50.0018,14.4244,POINT (14.4244 50.0018),342,0.3125647137451368,Násirovo náměstí,Praha 12,Praha 12,Urbánkova,1961/13
